Total Household Income,Total Food Expenditure,Household Head Age,Alcoholic Beverages Expenditure,Household Head Highest Grade Completed,Education Expenditure,Total Number of Family members,Total number of family members employed
92385,53861,34,510,High School Graduate,1280,5,1
204255,95133,39,0,High School Graduate,7900,4,0
369828,80636,59,116,Elementary Graduate,0,5,1
172053,99557,62,5340,Second Year High School,1400,7,0
445260,90943,70,616,Elementary Graduate,1250,5,2
446163,114039,62,3560,Elementary Graduate,37330,5,3
232481,91651,80,1044,Elementary Graduate,8425,14,4
1534700,256011,49,3603,Post Baccalaureate,45630,12,5
441403,79962,44,824,Engineering and Engineering trades Programs,3590,4,0
243763,111374,50,2080,Business and Administration Programs,15760,4,1
94372,51228,81,0,Grade 4,0,2,0
93939,51494,78,0,Third Year High School,0,2,0
123175,85482,41,570,High School Graduate,15750,6,2
108660,75779,38,720,Second Year College,4140,4,2
116695,74436,81,1740,High School Graduate,0,6,1
85631,77486,33,1040,High School Graduate,1730,7,1
158099,70874,39,840,High School Graduate,2030,4,2
139950,80840,56,615,High School Graduate,0,5,1
183048,58968,38,1140,High School Graduate,1620,5,1
101465,52144,42,1135,Grade 5,2870,5,2
348728,103425,41,910,High School Graduate,1890,4,1
155135,49816,59,1260,Elementary Graduate,480,3,2
260347,108264,53,4420,Elementary Graduate,1720,6,1
101481,29842,72,0,Elementary Graduate,0,1,0
272793,94860,63,3210,High School Graduate,740,5,3
183353,78872,38,228,High School Graduate,2190,6,1
132405,56650,32,252,High School Graduate,0,4,1
407750,99434,51,962,High School Graduate,29350,4,1
77160,45969,78,0,Elementary Graduate,0,2,0
196162,128727,52,930,Elementary Graduate,1850,7,2
286689,92870,67,1624,Grade 2,0,9,5
110745,75361,44,3370,High School Graduate,825,4,1
203165,108324,53,540,Elementary Graduate,936,8,1
311898,130876,48,1290,High School Graduate,2250,10,4
122140,66129,50,1080,Grade 5,1350,4,2
160446,77549,60,0,Elementary Graduate,1770,5,0
72394,57824,45,540,High School Graduate,699,6,1
208386,111227,48,540,Grade 3,100,10,5
197178,87302,42,962,High School Graduate,750,6,0
210660,105301,40,3186,High School Graduate,1300,5,1
96687,42941,58,0,Elementary Graduate,11499,2,0
170607,90032,48,2360,High School Graduate,0,6,2
173470,78726,62,1820,Third Year High School,1569,6,2
241390,112629,44,320,Second Year College,6400,7,2
67559,20227,69,0,Elementary Graduate,0,1,0
256866,87058,42,480,High School Graduate,470,5,2
55527,33916,80,0,Grade 5,0,2,1
93960,36767,37,988,High School Graduate,100,3,1
127716,54960,60,240,Elementary Graduate,440,6,1
276565,72306,59,95,High School Graduate,0,5,3
631856,149012,60,962,High School Graduate,170,9,6
180444,67984,49,515,High School Graduate,7700,4,1
56380,42739,21,420,High School Graduate,0,3,1
84803,60654,74,0,Grade 5,0,2,0
114705,44375,72,0,Elementary Graduate,0,3,1
398062,138003,63,3926,Second Year College,0,9,3
419771,138668,58,2700,High School Graduate,370,11,4
303574,83513,85,228,Elementary Graduate,0,3,1
331722,94464,52,531,Elementary Graduate,1000,9,4
80244,69092,76,0,Grade 5,960,7,0
295834,99150,61,582,High School Graduate,850,9,3
373454,113393,46,1170,High School Graduate,820,6,4
255831,126489,51,1502,High School Graduate,16310,5,2
184511,64592,64,0,Elementary Graduate,1570,7,1
194170,91190,63,270,First Year High School,1968,8,1
190720,60800,42,0,Second Year High School,17469,4,1
521451,141206,62,0,"Agriculture, Forestry, and Fishery Programs",0,6,3
130925,81360,42,180,Elementary Graduate,0,3,0
161432,69722,38,90,High School Graduate,11412,6,1
307304,106378,30,0,Health Programs,0,4,1
414472,171422,68,0,Grade 2,4550,10,3
649050,115392,58,360,Business and Administration Programs,31650,9,1
132498,43202,69,270,Grade 2,1059,4,2
196857,73431,50,180,High School Graduate,3668,5,1
197727,46131,54,420,Business and Administration Programs,0,2,2
608130,176036,70,1080,Elementary Graduate,24680,7,3
142910,54804,77,0,Grade 1,700,5,1
203961,89384,51,0,High School Graduate,0,6,1
395427,86217,63,0,Elementary Graduate,0,3,1
398276,145386,65,540,Grade 4,530,9,4
255825,101493,37,684,Third Year College,30602,6,1
125615,38867,42,6878,High School Graduate,0,1,1
589898,263528,47,520,High School Graduate,21310,6,2
72000,42342,67,240,Grade 4,0,4,2
255586,73356,31,0,Computing/Information Technology Programs,0,2,1
446965,117440,32,504,Teacher Training and Education Sciences Programs,0,4,2
77430,45246,25,990,Elementary Graduate,0,5,1
63526,30726,67,0,High School Graduate,0,2,0
121790,60634,50,1532,High School Graduate,0,3,1
1166182,290428,57,2132,Elementary Graduate,7850,12,6
354000,198722,37,0,Health Programs,20860,3,1
415015,133526,38,0,Second Year College,25240,6,1
458952,170978,39,1440,Second Year College,18250,5,2
330140,148135,67,0,Second Year College,35260,5,0
896543,237297,59,1440,High School Graduate,101300,4,2
230502,82593,37,0,Second Year College,1920,4,2
173832,31337,58,0,High School Graduate,0,1,0
126380,62244,63,0,Second Year College,10467,3,0
371866,103050,63,2470,High School Graduate,0,4,2
519758,121857,39,2080,High School Graduate,50250,4,2
556375,181241,61,4940,High School Graduate,13300,12,2
186900,68399,70,1080,Elementary Graduate,0,6,3
194285,79691,57,540,Grade 3,898,5,3
973279,209475,59,2096,Third Year College,37600,7,3
235152,52267,49,2516,Second Year College,0,1,1
306258,100467,39,0,Teacher Training and Education Sciences Programs,45850,3,2
286536,146776,40,4680,High School Graduate,11600,6,2
551748,177106,45,8180,Third Year High School,739,5,2
108640,74508,35,540,Third Year High School,2640,5,1
245630,131168,53,540,High School Graduate,1710,9,3
154947,87646,54,1080,High School Graduate,1508,6,2
283464,98833,62,0,Second Year College,0,3,1
169520,67798,59,0,Elementary Graduate,0,2,1
256624,99000,44,988,Second Year College,13950,5,1
352703,121139,56,540,Business and Administration Programs,0,6,3
75948,49271,39,130,Second Year High School,2398,5,1
269220,104707,51,540,Elementary Graduate,20000,7,4
183205,70978,72,540,Elementary Graduate,0,5,4
69476,25308,64,0,Elementary Graduate,0,1,0
198368,102463,48,540,High School Graduate,12400,6,1
121607,45195,73,270,Elementary Graduate,0,2,1
138933,48238,73,0,Grade 2,0,3,1
108515,69274,42,540,Grade 5,0,4,3
189492,85346,46,180,High School Graduate,8500,5,1
106350,28854,70,270,Second Year High School,0,2,1
255948,140113,52,792,Second Year High School,2940,7,2
420926,146334,45,1038,High School Graduate,33240,7,2
146920,102604,37,0,Second Year High School,2050,5,0
74642,41807,54,0,Elementary Graduate,0,2,0
95566,74349,67,0,High School Graduate,2820,3,0
582499,136284,58,0,Grade 4,0,4,2
91253,48916,47,0,Elementary Graduate,0,2,2
73421,56263,84,0,High School Graduate,0,2,0
101006,66697,66,2130,Elementary Graduate,340,4,2
145878,101646,69,3520,Elementary Graduate,0,4,2
117514,84909,45,3226,High School Graduate,880,6,4
85956,29607,55,252,First Year High School,0,2,2
108400,93008,40,1344,Elementary Graduate,960,6,3
239968,81514,66,2184,Elementary Graduate,68500,4,0
131586,81326,53,3276,Elementary Graduate,0,4,3
65851,67477,34,1344,High School Graduate,0,3,1
78894,88035,33,1092,High School Graduate,1640,5,1
118199,78601,53,0,Elementary Graduate,0,5,3
152332,65587,77,0,Grade 3,585,5,1
289050,152200,46,0,Third Year College,27430,6,0
84962,58781,57,756,Grade 5,245,3,2
302682,102868,55,570,High School Graduate,420,6,4
148552,76677,76,0,Grade 5,655,5,0
193885,93769,56,0,Elementary Graduate,575,5,1
72042,41934,32,180,High School Graduate,1640,4,1
267083,73578,65,630,Elementary Graduate,210,7,2
132618,55593,70,90,High School Graduate,0,3,1
279741,52083,53,410,High School Graduate,0,2,1
127497,41352,57,80,Elementary Graduate,270,6,2
242100,91464,60,180,Elementary Graduate,335,9,5
278541,96693,70,0,Elementary Graduate,450,5,0
127544,55195,48,420,Elementary Graduate,0,4,3
201098,62428,43,710,Third Year High School,1000,6,3
346825,74785,30,0,First Year College,290,3,1
115764,32694,93,0,Elementary Graduate,0,1,0
139912,78131,42,410,Third Year High School,350,6,2
54714,37472,52,402,Elementary Graduate,130,5,2
363778,93446,38,0,High School Graduate,680,4,1
146320,75438,75,390,Grade 2,1225,6,2
120436,104493,48,180,Second Year High School,555,5,3
164896,74620,66,1170,Second Year High School,0,5,1
68753,53072,37,540,Elementary Graduate,300,3,1
129204,59885,51,1170,Elementary Graduate,480,4,1
80912,41830,64,2262,Elementary Graduate,0,3,2
74425,56175,36,540,Elementary Graduate,710,4,1
92200,53000,44,1170,Elementary Graduate,695,4,3
93160,53199,50,540,Elementary Graduate,600,8,3
263522,140583,58,1170,Grade 3,16695,9,2
151398,75225,45,1924,First Year College,0,3,0
78658,51176,54,852,High School Graduate,1520,3,2
223626,100571,54,3306,Elementary Graduate,0,3,1
92525,54657,51,0,High School Graduate,550,3,2
107130,50527,73,0,Elementary Graduate,1450,2,0
117790,69556,64,0,Grade 4,1345,4,2
193357,151492,53,1710,High School Graduate,9710,6,0
503305,52180,79,0,First Year High School,0,2,0
70874,24526,69,0,Elementary Graduate,0,1,0
339712,147066,52,1320,Third Year High School,8950,4,1
128265,73073,59,0,Elementary Graduate,37500,1,0
193364,84862,60,0,Grade 4,7300,4,3
162353,57177,35,600,Third Year High School,1800,5,2
121538,52053,52,260,Grade 3,0,5,4
203431,56772,74,540,Grade 1,0,6,4
87341,46870,60,270,Elementary Graduate,0,3,3
468744,95628,51,2820,High School Graduate,29240,4,2
92463,61984,49,495,Engineering and Engineering trades Programs,3010,7,1
205514,101187,51,0,Second Year High School,3634,7,0
130085,104034,40,0,Second Year High School,1284,5,0
150782,80875,39,240,"Agriculture, Forestry, and Fishery Programs",8900,5,0
152738,64935,36,0,Second Year College,1660,6,1
174260,99757,52,0,Grade 2,12450,10,0
174600,116883,42,0,Elementary Graduate,2268,8,0
178250,90707,38,0,"Agriculture, Forestry, and Fishery Programs",1728,6,1
140658,58215,31,0,Third Year High School,50,5,0
148980,64438,41,0,Second Year High School,3410,9,0
127804,55473,53,0,Grade 4,0,5,0
90422,51245,62,0,No Grade Completed,2430,5,0
131783,53506,67,0,No Grade Completed,330,4,0
136287,54083,42,0,Grade 6,1122,7,0
96760,57407,81,0,No Grade Completed,800,5,0
277490,188273,42,0,Grade 5,1746,11,0
142406,73000,50,0,No Grade Completed,2530,6,0
198015,90303,37,0,Grade 2,738,6,0
233937,96330,35,0,Grade 4,859,6,0
185610,87383,38,0,Grade 3,1518,7,0
220155,110229,49,0,Grade 6,854,8,1
111968,66033,65,0,Grade 4,4020,5,0
143818,53168,48,0,First Year College,5050,7,1
313300,56341,52,0,Second Year Post Secondary,2050,11,3
250580,72464,63,0,Grade 6,2425,6,1
205100,48122,48,0,Second Year High School,0,6,4
136820,55791,36,0,Grade 6,600,2,0
539636,198662,53,0,Post Baccalaureate,15850,18,4
135580,56864,39,0,Grade 1,800,8,0
202036,90157,34,0,Grade 3,3640,18,0
135332,103211,37,0,Grade 4,750,10,0
1054500,224355,61,7200,Engineering and Engineering Trades Programs,28500,14,4
84575,58108,51,0,Third Year High School,1334,5,1
219328,64076,53,0,Grade 1,2170,5,0
198655,60575,21,0,Elementary Graduate,558,4,0
143571,81572,44,0,No Grade Completed,1741,8,0
198900,74974,61,0,Grade 1,0,8,0
162717,73873,64,0,Grade 2,312,5,0
196670,85241,43,0,Grade 1,921,7,1
225608,88403,37,0,Grade 3,932,9,1
102735,51800,52,248,High School Graduate,2800,3,1
308380,126202,54,0,Elementary Graduate,8530,13,1
157819,58049,62,0,Fourth Year College,0,3,0
137708,60930,51,0,No Grade Completed,2171,9,0
198480,75364,59,0,No Grade Completed,5540,9,0
144293,58386,45,0,No Grade Completed,1499,6,0
145928,52042,49,0,No Grade Completed,0,5,0
141217,60870,47,120,No Grade Completed,0,6,0
120647,55727,37,0,No Grade Completed,0,7,0
122613,49738,51,0,No Grade Completed,0,6,0
182038,46858,46,0,No Grade Completed,0,6,0
70850,28108,55,0,No Grade Completed,0,2,0
89983,52555,37,0,No Grade Completed,0,6,0
187580,88661,56,0,Elementary Graduate,10650,7,0
138950,91030,51,0,No Grade Completed,0,7,0
245940,80585,38,0,Grade 3,1645,6,0
140970,70881,40,0,High School Graduate,830,4,0
152515,69594,38,0,First Year College,1300,5,0
137927,75352,33,0,High School Graduate,0,3,0
236475,82257,40,0,No Grade Completed,690,4,0
239680,85222,63,0,Fourth Year College,600,7,1
217050,60829,29,0,Elementary Graduate,250,9,0
263940,86397,44,0,High School Graduate,9952,8,0
180780,79012,36,0,Grade 2,1090,5,0
214950,70783,31,0,High School Graduate,0,6,0
285138,75294,69,0,Elementary Graduate,0,10,0
441059,51110,43,0,Security Services Programs,1790,8,2
252536,53368,48,0,Security Services Programs,3520,3,1
100731,34984,34,0,"Agriculture, Forestry, and Fishery Programs",1835,6,2
90558,16078,60,0,No Grade Completed,0,2,0
71703,32516,63,0,High School Graduate,0,3,1
173816,110245,48,0,No Grade Completed,220,20,0
121530,57609,53,0,Elementary Graduate,1050,7,0
96128,43980,39,0,High School Graduate,250,6,0
141864,53967,72,0,Elementary Graduate,0,10,0
161160,65002,30,0,Elementary Graduate,250,11,0
107434,48669,65,0,Grade 2,3600,6,0
126804,40723,50,0,Elementary Graduate,1710,8,0
128708,41986,55,0,Elementary Graduate,3700,10,0
124124,57314,89,0,Elementary Graduate,4000,7,0
107570,53989,46,0,Fourth Year College,5700,7,0
132300,55860,45,0,Elementary Graduate,500,9,0
179740,64631,40,0,Second Year College,990,8,0
146575,58284,37,0,Grade 2,150,7,0
83015,24524,65,0,Elementary Graduate,0,2,0
98464,44314,36,0,Grade 3,350,4,0
147584,46556,45,0,No Grade Completed,0,4,0
228098,60450,50,0,Elementary Graduate,1450,5,0
145937,47956,88,0,Teacher Training and Education Sciences Programs,780,6,0
129680,51862,68,0,High School Graduate,1900,7,1
201215,53349,40,0,High School Graduate,300,6,0
179932,106130,32,0,High School Graduate,60,6,0
151935,84828,30,0,Grade 3,390,5,0
140400,74017,38,0,Grade 2,890,6,0
221925,101627,40,0,Grade 1,240,9,0
246540,109397,37,0,Grade 3,260,8,0
190873,75680,48,0,Elementary Graduate,500,9,0
143068,64913,40,0,Second Year College,1395,8,0
223491,57169,55,0,Grade 5,2950,5,2
207126,85987,57,0,First Year College,1462,7,0
126864,47650,49,0,Grade 4,1258,6,0
158980,56261,57,0,Elementary Graduate,1418,4,0
91190,55034,41,0,Grade 5,5376,7,0
156530,93296,42,0,High School Graduate,7912,9,0
124690,75212,29,0,Grade 3,2818,3,0
114920,66360,36,0,Security Services Programs,2080,5,0
126920,78255,39,0,Grade 6,4570,8,0
123770,75238,54,0,Grade 4,1080,4,0
89230,72800,42,0,Second Year College,2940,7,1
129949,92306,46,0,Grade 6,3386,10,0
199270,107875,42,0,Grade 3,1950,6,0
144505,69265,49,5590,Second Year High School,25500,4,2
135071,64736,46,540,Third Year High School,9300,5,1
283222,144859,58,3250,Elementary Graduate,3160,10,3
292714,153637,46,988,High School Graduate,39500,6,2
378519,140184,53,1390,High School Graduate,25730,8,2
125235,79370,44,630,High School Graduate,10600,5,1
254745,112019,63,0,High School Graduate,0,3,1
184701,103023,63,8320,Elementary Graduate,2900,7,5
230427,88979,66,1320,Elementary Graduate,16030,4,3
264488,222985,61,4570,Grade 3,800,15,7
346033,152111,50,3000,Elementary Graduate,13300,8,6
111792,53382,60,0,High School Graduate,0,1,1
202518,116639,49,210,High School Graduate,16970,6,1
122244,72647,41,1170,Elementary Graduate,535,5,2
268185,102967,56,5582,Elementary Graduate,0,7,1
208236,32506,67,0,Grade 3,0,2,2
522288,163280,50,3372,Engineering and Engineering Trades Programs,16115,7,2
638050,148817,68,0,Second Year College,0,4,2
252738,69372,66,414,Third Year College,0,1,0
114420,56381,54,1020,Grade 5,0,1,1
67426,37451,55,0,Elementary Graduate,285,4,3
82964,36410,57,1992,Elementary Graduate,0,1,0
160258,108573,54,2002,High School Graduate,3300,7,0
69869,54714,51,520,Second Year High School,0,2,0
93526,49892,24,0,High School Graduate,0,3,1
140974,83385,65,10790,Second Year High School,0,6,1
262320,161511,61,7540,High School Graduate,49300,6,2
134971,76458,74,0,Elementary Graduate,0,3,0
142760,61346,74,0,High School Graduate,14000,3,0
371130,139385,37,0,Second Year College,67000,3,1
610891,147152,59,0,Third Year College,0,3,1
150982,87926,36,615,High School Graduate,4800,5,1
159711,80478,45,0,Grade 5,0,2,0
113452,65543,22,2890,Elementary Graduate,0,3,2
152425,55110,41,0,High School Graduate,2400,3,0
451602,95992,55,0,High School Graduate,29920,2,0
252912,115844,43,0,Elementary Graduate,34080,3,1
252968,67035,77,0,High School Graduate,0,2,0
381491,120875,51,1924,High School Graduate,17500,8,2
209182,90591,52,3214,First Year High School,6258,5,1
217425,72276,46,0,Third Year College,700,5,1
309486,122205,57,4798,Elementary Graduate,770,8,4
472668,156390,53,708,First Year High School,10971,8,2
298426,105227,68,0,Engineering and Engineering Trades Programs,0,2,0
255196,70213,35,572,High School Graduate,719,3,1
37510,28146,63,0,Elementary Graduate,0,1,0
24881,9618,46,0,No Grade Completed,0,1,1
463032,158948,67,6370,High School Graduate,37500,3,1
549528,224685,52,6266,High School Graduate,33501,6,3
234246,155305,40,13590,High School Graduate,5210,4,3
447104,192588,64,2080,Engineering and Engineering trades Programs,5000,3,0
422427,169408,53,25193,Third Year High School,0,4,2
636382,312918,58,4570,Elementary Graduate,31678,16,6
235616,137040,25,0,High School Graduate,0,3,2
276628,129967,47,1390,High School Graduate,1670,7,5
215706,144506,48,6160,High School Graduate,9040,9,4
1408462,324321,50,1820,Second Year College,49200,4,0
204005,105176,76,0,Grade 5,9400,4,0
177841,118671,16,4082,Second Year High School,6400,5,1
624384,186894,59,5162,High School Graduate,2830,7,0
175437,83110,40,2300,Third Year High School,22740,6,2
1156560,337269,40,2106,Health Programs,42910,5,1
342129,119913,42,0,Second Year College,72780,4,0
159984,38328,37,74,High School Graduate,0,1,1
853276,82927,48,0,Teacher Training and Education Sciences Programs,396000,3,2
243580,127778,38,85,High School Graduate,6720,3,1
401661,109665,63,9919,Elementary Graduate,0,5,3
1238200,322775,68,7880,Teacher Training and Education Sciences Programs,0,5,0
70511,34632,65,0,First Year High School,2610,2,0
135080,51301,63,0,Elementary Graduate,3760,4,0
61526,24945,65,2834,First Year College,0,1,1
240511,47969,48,198,Second Year College,0,1,1
96574,39550,64,469,High School Graduate,0,2,2
385901,143378,36,0,Business and Administration Programs,4520,4,1
221410,65273,44,0,High School Graduate,35950,6,0
297947,106467,44,630,Second Year Post Secondary,32340,4,2
247640,87175,48,0,Second Year College,40222,5,0
307500,131665,44,1820,High School Graduate,33378,6,1
222826,94572,72,90,High School Graduate,0,3,1
75733,40518,66,0,Grade 3,0,1,0
522809,135178,50,830,First Year College,0,4,4
221590,103861,54,3081,High School Graduate,12369,6,3
209472,78095,66,0,Elementary Graduate,0,3,1
125996,85103,74,0,Elementary Graduate,0,2,0
241544,69072,67,0,Third Year High School,0,2,0
335950,83909,20,2266,Fourth Year College,33000,3,1
424956,123063,52,950,High School Graduate,9950,5,0
248768,70696,47,729,High School Graduate,9020,5,3
258408,141505,43,0,High School Graduate,3880,4,1
220266,75852,38,0,First Year College,13240,4,1
317377,152621,80,1374,Grade 2,2795,7,1
89569,62554,79,0,Grade 4,0,2,0
442246,114932,55,462,Teacher Training and Education Sciences Programs,37000,1,1
247068,116045,76,11400,High School Graduate,21100,5,2
72638,22265,20,38,High School Graduate,11850,2,1
119032,98681,77,0,First Year High School,400,3,1
294969,166694,32,1800,Third Year College,410,5,1
137433,117762,53,215,Second Year College,9470,5,2
169940,107735,38,0,High School Graduate,35380,5,1
159190,56963,58,720,Third Year High School,0,4,2
534874,173012,53,0,High School Graduate,16215,6,3
134370,81975,64,90,Second Year High School,0,2,0
213535,95947,52,810,High School Graduate,14200,5,1
52753,95851,76,0,Grade 5,750,5,0
104319,118189,38,540,Grade 2,2635,6,1
359498,135028,65,0,High School Graduate,21215,4,0
104897,86356,36,750,High School Graduate,10557,5,0
78124,44969,54,85,High School Graduate,2562,4,2
365624,102813,51,4224,High School Graduate,0,3,1
51189,27836,71,0,Grade 5,0,1,0
263570,146459,45,17106,High School Graduate,39340,5,0
160760,115859,64,0,Elementary Graduate,0,3,0
271530,127811,53,720,Third Year High School,32695,5,5
87666,67295,56,588,Grade 4,5200,4,1
269064,109304,39,2080,High School Graduate,7895,6,1
170925,89304,79,0,Grade 5,0,2,1
79900,39325,50,0,Grade 5,0,2,0
49930,28594,67,0,High School Graduate,0,1,0
471533,214802,57,2600,Elementary Graduate,24240,8,3
218042,83908,73,0,Grade 5,0,2,0
115870,58657,45,2990,Elementary Graduate,0,2,2
179973,110355,64,12400,First Year High School,720,3,1
44036,22887,64,0,Elementary Graduate,510,2,1
271899,136118,60,2990,Second Year High School,3650,5,2
112830,63952,63,0,High School Graduate,0,2,0
49730,24075,55,2366,First Year High School,0,1,1
134465,110821,68,0,Grade 4,11730,3,0
262018,106021,58,2082,High School Graduate,50295,5,4
229856,150153,49,10244,First Year College,300,7,3
390000,211981,31,1560,High School Graduate,27720,4,1
358708,123553,70,2658,High School Graduate,23760,7,2
188539,85639,75,960,Business and Administration Programs,0,2,1
644404,234505,64,0,Business and Administration Programs,22900,3,2
445372,159926,56,4597,Third Year High School,2340,6,3
1959800,220340,40,750,Third Year College,81360,3,0
247547,45803,47,3198,First Year Post Secondary,0,2,0
136576,49473,50,0,Elementary Graduate,0,2,2
149525,95552,40,1370,Elementary Graduate,32610,4,2
174356,116946,38,0,Third Year High School,17800,4,0
152990,111953,49,0,High School Graduate,870,7,1
1934038,46574,44,3006,Second Year College,0,1,0
190220,73295,59,0,Business and Administration Programs,0,2,0
257210,136198,42,7295,High School Graduate,44260,3,0
86245,59169,28,1270,Elementary Graduate,175,4,1
161338,65556,68,0,Elementary Graduate,0,2,0
155336,91752,62,0,Elementary Graduate,1640,5,2
496422,257099,60,0,High School Graduate,19765,6,0
258272,93010,48,0,Elementary Graduate,3460,8,3
265350,124541,51,660,High School Graduate,22550,5,1
140860,67476,79,0,Second Year High School,1010,2,0
165470,76356,64,420,Elementary Graduate,1880,5,1
46586,28132,59,0,Grade 3,0,2,0
40220,21262,55,530,Elementary Graduate,0,1,1
329741,155847,57,0,High School Graduate,1540,3,0
417338,207117,52,0,Grade 5,2140,8,2
687008,120040,46,0,Teacher Training and Education Sciences Programs,28620,3,2
130086,70110,65,0,Grade 5,24710,8,1
284075,105019,31,0,Teacher Training and Education Sciences Programs,8532,4,0
190410,105892,69,0,Grade 5,850,3,1
359480,147056,55,0,Elementary Graduate,2690,5,2
204393,112767,80,1530,Grade 2,15795,4,2
249048,147453,36,0,High School Graduate,5000,6,2
272126,95703,38,1500,Elementary Graduate,7080,6,2
105514,69960,37,1170,Elementary Graduate,1190,2,1
509936,81749,53,2860,High School Graduate,0,3,3
174764,95493,80,5954,Grade 4,0,4,3
182853,55308,86,0,Grade 4,0,3,0
114306,56408,32,0,Second Year High School,1870,4,1
231351,160404,48,0,Elementary Graduate,11480,6,1
104562,91412,34,1254,Elementary Graduate,0,8,1
173685,71639,80,3159,Grade 4,0,3,0
196181,158402,66,612,No Grade Completed,0,4,3
117516,121410,42,1924,Third Year High School,0,3,1
273704,66308,66,11655,Elementary Graduate,0,3,2
115058,63048,69,0,Elementary Graduate,0,3,0
171386,108402,65,0,Elementary Graduate,800,5,0
376597,83059,75,500,High School Graduate,0,3,0
315871,129234,65,0,Grade 5,2750,9,5
137455,82659,57,495,Second Year College,0,3,0
209684,121620,37,1870,Elementary Graduate,3050,4,0
136430,108763,40,270,High School Graduate,790,8,2
100965,69155,38,0,Grade 5,6069,7,1
240690,76356,60,650,First Year High School,33141,4,0
201100,77015,33,0,High School Graduate,1176,3,2
135954,71330,67,0,Grade 2,3590,6,1
271478,90586,45,0,Business and Administration Programs,10800,6,3
198436,78913,68,240,Grade 4,0,2,1
111250,59705,38,3224,First Year High School,2757,3,1
293910,144577,39,3120,High School Graduate,1430,5,1
349338,185031,76,0,Elementary Graduate,44520,8,2
393780,149407,67,1040,Grade 3,1586,5,2
194732,100946,68,0,High School Graduate,6310,7,2
207906,57110,45,0,Grade 5,5858,5,0
192922,114258,56,0,High School Graduate,17600,3,1
161843,78176,66,0,Elementary Graduate,6200,6,1
535899,92464,46,0,Teacher Training and Education Sciences Programs,37850,4,2
312579,133445,46,164,First Year High School,14047,14,0
154715,39580,46,20,Computing/Information Technology Programs,18260,3,0
107244,58182,40,510,Elementary Graduate,440,6,1
141249,47960,57,10,High School Graduate,0,3,1
113946,53999,61,482,First Year High School,1230,5,1
115508,42241,45,1258,High School Graduate,1085,8,2
153087,54140,32,0,Second Year High School,180,5,1
63114,15366,66,0,Second Year High School,0,1,0
121160,61945,42,450,Elementary Graduate,0,6,1
108579,31182,64,860,Grade 4,0,4,0
287625,84749,41,0,Elementary Graduate,25150,4,1
52408,22568,70,0,Grade 4,0,1,1
87009,26525,57,0,Elementary Graduate,15210,4,1
235397,173922,56,310,High School Graduate,16010,7,2
212925,59873,37,1950,High School Graduate,750,3,1
232450,125376,46,319,Engineering and Engineering Trades Programs,19320,6,2
86795,31678,57,2170,Grade 5,4030,8,1
80332,40393,45,0,Elementary Graduate,980,4,1
274352,97047,42,0,Teacher Training and Education Sciences Programs,2570,8,1
668708,95538,41,265,Post Baccalaureate,18200,6,2
357968,85946,66,75,Elementary Graduate,870,4,1
518867,130485,43,265,High School Graduate,0,5,3
386108,94920,45,115,Business and Administration Programs,41166,6,2
188194,45660,59,0,Elementary Graduate,100,5,0
143185,61400,35,108,Transport Services Programs,1044,4,2
395887,79501,51,5970,Teacher Training and Education Sciences Programs,13320,4,3
366304,102882,77,0,High School Graduate,0,3,0
427451,110702,74,2130,Grade 4,400,7,1
80063,35382,73,49,Elementary Graduate,0,3,2
245005,86809,43,1170,Grade 5,400,3,2
554069,177913,56,650,Elementary Graduate,1888,13,4
147574,70768,77,385,Grade 4,20360,6,1
181397,86607,53,1890,Grade 4,6845,9,3
131210,67702,44,210,Teacher Training and Education Sciences Programs,770,7,1
119854,36074,50,640,Grade 5,12356,2,1
215070,78726,43,850,High School Graduate,42950,4,0
190820,79691,75,270,Third Year High School,0,4,0
120406,68513,39,1025,First Year High School,1315,5,1
226571,116875,50,0,Second Year High School,960,12,1
135637,71862,61,330,Grade 5,817,6,1
129379,50310,48,6838,High School Graduate,0,3,1
446055,125344,60,2010,Second Year College,490,8,2
129437,64561,33,950,Third Year High School,500,5,1
209712,89473,33,66,Third Year High School,890,7,1
323717,126556,65,0,Grade 4,3900,7,1
91072,11161,65,0,Grade 3,0,1,1
157117,81178,34,0,Elementary Graduate,60,4,2
205455,60280,64,0,Engineering and Engineering Trades Programs,2450,6,1
112755,40590,62,0,Grade 3,0,2,1
103677,55803,66,420,Grade 3,646,5,1
65190,33412,41,774,Elementary Graduate,805,5,1
207759,61055,42,360,Engineering and Engineering trades Programs,100,3,1
38592,19292,80,12,First Year High School,0,1,0
296795,146066,40,160,First Year High School,3510,6,0
191390,62169,77,210,First Year College,38300,5,2
44506,17692,90,0,No Grade Completed,0,1,0
370697,129682,53,1488,High School Graduate,4700,13,2
1333210,395214,50,0,Engineering and Engineering trades Programs,188500,6,3
125355,64236,42,450,High School Graduate,1019,6,2
168106,60092,40,3800,High School Graduate,315,6,3
206280,79071,32,2116,First Year College,840,5,1
615081,263296,34,424,Teacher Training and Education Sciences Programs,21300,4,1
47572,17523,57,270,High School Graduate,0,1,0
2334862,133782,66,4080,Third Year High School,0,3,1
243732,61830,19,421,Second Year College,76230,4,0
344029,125066,50,1768,First Year College,17180,7,1
138294,68108,53,1404,Elementary Graduate,8880,3,0
54706,11933,73,0,High School Graduate,0,1,0
859536,138670,53,2730,Teacher Training and Education Sciences Programs,8000,5,2
